"workerid","A","B","percent","read_and_decide_time","quant","read_time_one","response","qq","percent_cat","resp","rt_too_quick"
36,"""awplor""","""fasees""",92,918,"More than half",1595,"true","More than half","76-100",1,FALSE
36,"""werner""","""hurmer""",18,833,"Fewer than half",1692,"true","Fewer than half","1-25",0,FALSE
36,"""devole""","""sholly""",79,852,"Fewer than half",1575,"false","Fewer than half","76-100",1,FALSE
36,"""umpond""","""marire""",59,797,"Fewer than half",1342,"false","Fewer than half","51-60",1,FALSE
36,"""ingell""","""nalill""",66,927,"More than half",1405,"true","More than half","61-75",1,FALSE
36,"""spunge""","""wenple""",42,1013,"Fewer than half",1585,"true","Fewer than half","41-50",0,FALSE
36,"""pobbit""","""spippy""",59,763,"More than half",1141,"true","More than half","51-60",1,FALSE
36,"""puggle""","""entand""",31,801,"Fewer than half",1352,"true","Fewer than half","26-40",0,FALSE
36,"""cosutz""","""spover""",39,911,"Fewer than half",1285,"true","Fewer than half","26-40",0,FALSE
36,"""pliper""","""sesare""",63,819,"More than half",1341,"true","More than half","61-75",1,FALSE
36,"""dorder""","""coggon""",75,966,"Fewer than half",1586,"false","Fewer than half","61-75",1,FALSE
36,"""shamer""","""bloifs""",4,878,"Fewer than half",1767,"true","Fewer than half","1-25",0,FALSE
36,"""fleeve""","""scalfs""",13,776,"Fewer than half",1522,"true","Fewer than half","1-25",0,FALSE
36,"""sporer""","""firtly""",52,645,"More than half",1665,"true","More than half","51-60",1,FALSE
36,"""puctor""","""recure""",72,716,"Fewer than half",1544,"false","Fewer than half","61-75",1,FALSE
36,"""birler""","""enciad""",70,722,"More than half",1358,"true","More than half","61-75",1,FALSE
36,"""bemble""","""squank""",76,637,"Fewer than half",1532,"false","Fewer than half","76-100",1,FALSE
36,"""chadop""","""shaple""",22,903,"More than half",1585,"false","More than half","1-25",0,FALSE
36,"""beckel""","""racual""",48,758,"Fewer than half",1400,"true","Fewer than half","41-50",0,FALSE
36,"""mecket""","""plumry""",13,574,"More than half",1263,"false","More than half","1-25",0,FALSE
36,"""tecker""","""biller""",77,792,"Fewer than half",1740,"false","Fewer than half","76-100",1,FALSE
36,"""pengyl""","""sedest""",32,627,"More than half",1268,"false","More than half","26-40",0,FALSE
36,"""pirter""","""secent""",54,609,"Fewer than half",1495,"false","Fewer than half","51-60",1,FALSE
36,"""padnet""","""fanely""",85,642,"More than half",1463,"true","More than half","76-100",1,FALSE
36,"""isbant""","""unairs""",78,635,"Fewer than half",2498,"false","Fewer than half","76-100",1,FALSE
36,"""pliper""","""sesare""",60,664,"Fewer than half",1825,"false","Fewer than half","51-60",1,FALSE
36,"""schook""","""jabant""",8,1154,"Fewer than half",1634,"true","Fewer than half","1-25",0,FALSE
36,"""boddle""","""molill""",52,596,"Fewer than half",1548,"false","Fewer than half","51-60",1,FALSE
36,"""kustle""","""reshix""",18,694,"More than half",1379,"false","More than half","1-25",0,FALSE
36,"""cosutz""","""spover""",1,684,"More than half",1256,"false","More than half","1-25",0,FALSE
36,"""chevel""","""podden""",80,680,"More than half",1193,"true","More than half","76-100",1,FALSE
36,"""coamin""","""mucond""",5,777,"Fewer than half",1411,"true","Fewer than half","1-25",0,FALSE
36,"""shrile""","""athoid""",38,915,"More than half",1490,"false","More than half","26-40",0,FALSE
36,"""birler""","""enciad""",64,632,"Fewer than half",1426,"false","Fewer than half","61-75",1,FALSE
36,"""ingell""","""nalill""",70,649,"Fewer than half",1155,"false","Fewer than half","61-75",1,FALSE
36,"""coamin""","""mucond""",35,732,"More than half",1522,"false","More than half","26-40",0,FALSE
36,"""shurry""","""preser""",43,697,"Fewer than half",1486,"true","Fewer than half","41-50",0,FALSE
36,"""pobbit""","""spippy""",63,647,"Fewer than half",1670,"false","Fewer than half","61-75",1,FALSE
